SYMBOL,Time,OMDSEQ,SIZE,PRICE
BB,2015-01-03 09:32:14.417158790,0,300,24.35
BB,2015-01-03 09:32:14.417177993,1,300,24.25
BB,2015-01-03 09:32:14.417270029,2,35,24.35
BB,2015-01-03 09:35:53.267346056,0,936,24.5
BB,2015-01-03 14:37:13.810159042,0,150,25.4

